"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"CREATED_BY";"DATASHEET";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"MPN";"PACKAGE";"PARTREV";"PRICE";"PROD_ID";"PURCHASE-URL";"SNAPEDA_LINK";"STANDARD";
"ARDUINO";"A000066";"A000066";"ARDUINO_A000066";"Check availability";"In Stock";"https://www.snapeda.com/parts/A000066/Arduino/view-part/?ref=eda";"";"";"";"                                                      Arduino UNO Rev3 Microcontroller Board, ATmega328P | Arduino A000066                                              ";"";"";"";"";"";"Arduino";"A000066";"";"Non-Standard Arduino";"";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=7027813&manufacturer=Arduino&part_name=A000066&search_term=arduino uno r3";"https://www.snapeda.com/parts/A000066/Arduino/view-part/?ref=snap";"";
"C1";"22uF";"GRM31CR60J107ME39L";"CAP_1206";"CAP CER 100UF 6.3V X5R 1206";"";"";"";"PCBLayout.com";"";"";"GRM31CR60J107ME39L";"Murata Electronics North America";"";"";"";"";"";"GRM31CR60J107ME39L";"SMD 1206";"";"";"";"";"";"";
"C2";"22uF";"GRM31CR60J107ME39L";"CAP_1206";"CAP CER 100UF 6.3V X5R 1206";"";"";"";"PCBLayout.com";"";"";"GRM31CR60J107ME39L";"Murata Electronics North America";"";"";"";"";"";"GRM31CR60J107ME39L";"SMD 1206";"";"";"";"";"";"";
"C3";"0.1 uF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";
"C4";"22uF";"GRM31CR60J107ME39L";"CAP_1206";"CAP CER 100UF 6.3V X5R 1206";"";"";"";"PCBLayout.com";"";"";"GRM31CR60J107ME39L";"Murata Electronics North America";"";"";"";"";"";"GRM31CR60J107ME39L";"SMD 1206";"";"";"";"";"";"";
"C5";"22uF";"GRM31CR60J107ME39L";"CAP_1206";"CAP CER 100UF 6.3V X5R 1206";"";"";"";"PCBLayout.com";"";"";"GRM31CR60J107ME39L";"Murata Electronics North America";"";"";"";"";"";"GRM31CR60J107ME39L";"SMD 1206";"";"";"";"";"";"";
"ESP";"ESP32DEVKITV1";"ESP32DEVKITV1";"ESP32-DEVKITV1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"6.8uH";"INDUCTOR-BOURNS_SRN8040";"INDUCTOR-BOURNS_SRN8040";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"P1";"282837-2";"282837-2";"TE_282837-2";"";"Good";"";"";"";"";"TERMINAL BLOCK 3.5MM 2POS PCB";"";"";"";"";"";"On Shore";"OSTTE020104";"";"None";"G3";"0.28 USD";"";"";"";"";
"P2";"282837-2";"282837-2";"TE_282837-2";"";"Good";"";"";"";"";"TERMINAL BLOCK 3.5MM 2POS PCB";"";"";"";"";"";"On Shore";"OSTTE020104";"";"None";"G3";"0.28 USD";"";"";"";"";
